"sid"	"grade"	"dname"	"cno"	"sectno"
1	3.00	"Chemical Engineering"	310	1
2	3.00	"Computer Sciences"	302	1
3	3.50	"Civil Engineering"	375	1
4	4.00	"Mathematics"	461	1
5	3.00	"Industrial Engineering"	514	1
6	3.50	"Computer Sciences"	302	2
7	4.00	"Computer Sciences"	302	1
8	4.00	"Computer Sciences"	302	1
9	3.00	"Civil Engineering"	375	1
10	2.00	"Computer Sciences"	302	1
11	3.00	"Computer Sciences"	302	2
12	2.50	"Computer Sciences"	302	2
13	2.50	"Computer Sciences"	302	2
14	2.50	"Mathematics"	462	1
15	3.00	"Chemical Engineering"	310	1
16	3.00	"Computer Sciences"	467	1
16	3.00	"Computer Sciences"	701	1
17	3.00	"Mathematics"	461	1
18	2.00	"Civil Engineering"	375	1
18	3.50	"Mathematics"	461	1
19	3.50	"Mathematics"	461	1
20	2.50	"Computer Sciences"	302	1
21	3.00	"Computer Sciences"	467	1
21	3.50	"Industrial Engineering"	514	1
22	3.00	"Computer Sciences"	302	1
22	3.00	"Computer Sciences"	467	1
23	4.00	"Civil Engineering"	561	1
24	4.00	"Computer Sciences"	302	2
25	3.50	"Computer Sciences"	302	1
26	3.50	"Mathematics"	462	1
27	2.50	"Industrial Engineering"	514	1
28	3.00	"Mathematics"	461	1
29	3.00	"Civil Engineering"	365	1
29	3.00	"Civil Engineering"	375	1
29	3.00	"Civil Engineering"	561	1
30	4.00	"Computer Sciences"	467	1
31	3.50	"Computer Sciences"	302	1
32	2.00	"Civil Engineering"	561	1
33	2.00	"Civil Engineering"	365	1
33	3.00	"Computer Sciences"	726	1
34	1.00	"Civil Engineering"	561	1
35	3.00	"Mathematics"	461	1
36	3.00	"Civil Engineering"	375	1
37	3.00	"Mathematics"	462	1
38	3.00	"Computer Sciences"	302	2
39	3.00	"Computer Sciences"	302	1
40	3.50	"Mathematics"	462	1
41	3.00	"Computer Sciences"	701	1
42	3.50	"Computer Sciences"	701	1
43	2.50	"Computer Sciences"	467	1
44	4.00	"Computer Sciences"	726	1
45	3.00	"Chemical Engineering"	310	1
46	4.00	"Computer Sciences"	726	1
47	1.00	"Civil Engineering"	365	1
47	0.00	"Civil Engineering"	561	1
48	1.50	"Civil Engineering"	561	1
49	3.50	"Chemical Engineering"	310	1
49	3.50	"Industrial Engineering"	514	1
50	4.00	"Industrial Engineering"	514	1
51	3.00	"Computer Sciences"	726	1
52	1.00	"Computer Sciences"	302	1
52	4.00	"Computer Sciences"	467	1
53	4.00	"Mathematics"	462	1
54	3.00	"Civil Engineering"	375	1
55	2.50	"Mathematics"	461	1
56	2.50	"Chemical Engineering"	310	1
57	3.50	"Computer Sciences"	467	1
58	2.00	"Industrial Engineering"	514	1
59	3.50	"Mathematics"	462	1
60	2.50	"Civil Engineering"	561	1
61	3.50	"Civil Engineering"	561	1
61	2.00	"Computer Sciences"	726	1
62	2.50	"Computer Sciences"	726	1
63	2.50	"Computer Sciences"	701	1
64	4.00	"Civil Engineering"	561	1
64	3.50	"Computer Sciences"	726	1
66	1.50	"Civil Engineering"	365	1
66	4.00	"Civil Engineering"	375	1
67	3.50	"Computer Sciences"	467	1
67	4.00	"Computer Sciences"	701	1
68	3.50	"Computer Sciences"	726	1
69	3.50	"Computer Sciences"	302	2
69	2.00	"Computer Sciences"	467	1
70	3.50	"Civil Engineering"	561	1
71	2.50	"Computer Sciences"	701	1
72	3.50	"Computer Sciences"	726	1
73	3.00	"Civil Engineering"	375	1
74	2.50	"Civil Engineering"	365	1
75	3.00	"Computer Sciences"	726	1
76	3.50	"Civil Engineering"	365	1
77	2.00	"Computer Sciences"	701	1
78	3.00	"Industrial Engineering"	514	1
79	4.00	"Civil Engineering"	365	1
80	4.00	"Computer Sciences"	726	1
81	2.50	"Civil Engineering"	561	1
82	3.50	"Computer Sciences"	726	1
83	3.00	"Computer Sciences"	726	1
84	3.00	"Computer Sciences"	726	1
85	3.50	"Civil Engineering"	375	1
86	2.50	"Computer Sciences"	467	1
86	3.00	"Computer Sciences"	701	1
87	4.00	"Computer Sciences"	701	1
88	2.00	"Chemical Engineering"	310	1
89	3.50	"Computer Sciences"	701	1
90	3.50	"Computer Sciences"	726	1
90	3.50	"Mathematics"	462	1
91	4.00	"Mathematics"	462	1
92	4.00	"Computer Sciences"	726	1
93	4.00	"Chemical Engineering"	310	1
94	2.00	"Mathematics"	461	1
96	4.00	"Civil Engineering"	365	1
96	3.00	"Civil Engineering"	561	1
97	3.00	"Industrial Engineering"	514	1
98	4.00	"Industrial Engineering"	514	1
99	3.50	"Computer Sciences"	701	1
100	2.00	"Computer Sciences"	726	1
101	4.00	"Mathematics"	462	1
102	3.50	"Mathematics"	461	1
103	4.00	"Computer Sciences"	701	1
104	2.80	"Computer Sciences"	302	2
104	2.60	"Sanitary Engineering"	561	1
